symbol,strategy,entry_time,direction,trend,btc_regime,regime,entry,stop_loss,tp1,tp2,rr,actual_rr,rsi,rsi_dir,ema_spread_pct,atr_pct,pb_candles,entry_body_pct,ema21_dist_pct,entry_delay_1h,size_multiplier,risk_usd,position_size,outcome,exit_price,exit_reason,candles_held,pnl
INJ/USDT,S5,2025-07-10 20:00,LONG,range,n/a,RANGING,11.33,10.674602,12.640796,13.951592,2.0,1.71,65.4,,6.19,2.57,,,,0,0.5,25.0,38.1448,tp1+trail,12.453806,trail_stop,11,46.43
LTC/USDT,S5,2025-07-10 20:00,LONG,range,n/a,TRANSITIONAL,92.55,89.176738,99.296524,106.043048,2.0,1.67,78.9,,4.86,1.28,,,,0,0.25,12.5,3.7056,tp1+trail,98.180212,trail_stop,146,22.93
SUI/USDT,S5,2025-07-10 20:00,LONG,range,n/a,TRANSITIONAL,3.4139,2.966123,4.309454,5.205008,2.0,1.15,88.7,,5.69,2.26,,,,0,0.5,25.0,55.8314,timeout,3.9288,timeout,240,28.75
TAO/USDT,S5,2025-07-10 20:00,LONG,range,n/a,TRANSITIONAL,364.0,332.33953,427.32094,490.64188,2.0,1.78,78.0,,6.73,2.18,,,,0,0.5,25.0,0.7896,tp1+trail,420.31859,trail_stop,81,47.23
WLD/USDT,S5,2025-07-10 20:00,LONG,range,n/a,TRANSITIONAL,0.979,0.911821,1.113358,1.247716,2.0,1.82,76.0,,10.18,2.49,,,,0,0.5,25.0,372.1401,tp1+trail,1.101463,trail_stop,10,47.79
TON/USDT,S5,2025-07-11 00:00,LONG,range,n/a,TRANSITIONAL,2.943,2.83406,3.16088,3.37876,2.0,1.76,69.8,,5.98,1.42,,,,0,0.25,12.5,114.7421,tp1+trail,3.135181,trail_stop,145,23.53
ONDO/USDT,S5,2025-07-11 12:00,LONG,range,n/a,TRANSITIONAL,0.9143,0.857777,1.027346,1.140392,2.0,-1.0,81.1,,13.85,2.17,,,,0,0.5,25.0,442.2978,sl,0.857777,stop_loss,27,-25.0
TRUMP/USDT,S5,2025-07-11 12:00,LONG,range,n/a,TRENDING,10.08,9.739273,10.761454,11.442908,2.0,-1.0,78.6,,20.52,2.2,,,,0,0.5,25.0,73.3725,sl,9.739273,stop_loss,10,-25.0
FIDA/USDT,S5,2025-07-11 20:00,LONG,range,n/a,TRANSITIONAL,0.0877,0.081336,0.100428,0.113156,2.0,-1.0,68.7,,9.75,3.34,,,,0,1.5,75.0,11785.0409,sl,0.081336,stop_loss,4,-75.0
ENA/USDT,S5,2025-07-16 20:00,LONG,range,n/a,TRENDING,0.3737,0.305476,0.510148,0.646596,2.0,1.78,68.0,,12.54,4.45,,,,0,1.5,75.0,1099.3199,tp1+trail,0.495328,trail_stop,93,141.85
INJ/USDT,S5,2025-07-16 20:00,LONG,range,n/a,TRANSITIONAL,13.63,12.817106,15.255788,16.881576,2.0,1.74,68.9,,10.03,3.27,,,,0,1.5,75.0,92.263,tp1+trail,15.041318,trail_stop,116,140.11
COS/USDT,S5,2025-07-17 08:00,LONG,range,n/a,TRANSITIONAL,0.003596,0.003482,0.003824,0.004052,2.0,-1.0,60.7,,8.17,2.84,,,,0,1.5,75.0,657894.7368,sl,0.003482,stop_loss,56,-75.0
FIDA/USDT,S5,2025-07-17 08:00,LONG,range,n/a,TRENDING,0.0932,0.087052,0.105496,0.117792,2.0,4.28,62.2,,21.36,4.39,,,,0,1.5,75.0,12199.0891,tp1+trail,0.119504,trail_stop,103,235.44
PEPE/USDT,S5,2025-07-17 08:00,LONG,range,n/a,TRANSITIONAL,1.4e-05,1.3e-05,1.5e-05,1.6e-05,2.51,-1.0,63.2,,14.51,4.07,,,,0,1.5,75.0,75000000.0,sl,1.3e-05,stop_loss,11,-75.0
TON/USDT,S5,2025-07-17 08:00,LONG,range,n/a,TRANSITIONAL,3.174,3.068556,3.384888,3.595776,2.0,1.89,66.6,,7.62,1.92,,,,0,0.25,12.5,118.5463,tp1+trail,3.373668,trail_stop,126,24.33
