symbol,strategy,entry_time,direction,trend,btc_regime,regime,entry,stop_loss,tp1,tp2,rr,actual_rr,rsi,rsi_dir,ema_spread_pct,atr_pct,pb_candles,entry_body_pct,ema21_dist_pct,entry_delay_1h,size_multiplier,risk_usd,position_size,outcome,exit_price,exit_reason,candles_held,pnl
TRUMP/USDT,S5,2026-03-06 12:00,SHORT,range,n/a,TRANSITIONAL,3.18,3.320122,2.899756,2.619512,2.0,1.46,33.2,,8.73,2.52,,,,0,0.5,15.0,107.0496,tp1+trail,2.975367,trail_stop,99,25.95
ENA/USDT,S5,2026-03-07 04:00,SHORT,range,n/a,TRENDING,0.1024,0.109014,0.089172,0.075944,2.0,-1.0,31.5,,11.93,3.54,,,,0,1.5,45.0,6803.7496,sl,0.109014,stop_loss,140,-45.0
ADA/USDT,S5,2026-03-07 16:00,SHORT,range,n/a,TRANSITIONAL,0.2549,0.264109,0.236482,0.218064,2.0,-1.0,34.0,,9.13,2.44,,,,0,0.5,15.0,1628.8414,sl,0.264109,stop_loss,65,-15.0
DOT/USDT,S5,2026-03-07 16:00,SHORT,range,n/a,TRENDING,1.468,1.537351,1.329298,1.190596,2.0,-1.0,40.2,,5.75,2.77,,,,0,0.5,15.0,216.291,sl,1.537351,stop_loss,65,-15.0
TAO/USDT,S5,2026-03-13 00:00,LONG,range,n/a,TRANSITIONAL,217.9,199.974207,253.751586,289.603172,2.0,1.94,74.3,,6.88,3.24,,,,0,1.5,45.0,2.5103,tp1+trail,252.622622,trail_stop,49,88.58
INJ/USDT,S5,2026-03-13 04:00,LONG,range,n/a,TRANSITIONAL,3.127,2.989096,3.402808,3.678616,2.0,-1.0,72.1,,4.96,1.98,,,,0,0.25,7.5,54.3857,sl,2.989096,stop_loss,147,-7.5
RENDER/USDT,S5,2026-03-13 04:00,LONG,range,n/a,TRANSITIONAL,1.765,1.534222,2.226556,2.688112,2.0,-0.55,82.1,,16.77,3.15,,,,0,1.5,45.0,194.9926,timeout,1.639,timeout,240,-24.57
SOL/USDT,S5,2026-03-13 12:00,LONG,range,n/a,TRANSITIONAL,90.33,87.131825,96.72635,103.1227,2.0,-1.0,64.7,,5.43,2.25,,,,0,0.5,15.0,4.6902,sl,87.131825,stop_loss,18,-15.0
FET/USDT,S5,2026-03-16 08:00,LONG,range,n/a,TRENDING,0.2075,0.189757,0.242986,0.278472,2.0,2.12,73.4,,21.21,3.8,,,,0,1.5,45.0,2536.2115,tp1+trail,0.245073,trail_stop,9,92.65
LTC/USDT,S5,2026-03-16 08:00,LONG,range,n/a,TRANSITIONAL,57.4,55.43376,61.33248,65.26496,2.0,-1.0,71.8,,3.52,1.35,,,,0,0.25,12.5,6.3573,sl,55.43376,stop_loss,55,-12.5
