symbol,strategy,entry_time,direction,trend,btc_regime,regime,entry,stop_loss,tp1,tp2,rr,actual_rr,rsi,rsi_dir,ema_spread_pct,atr_pct,pb_candles,entry_body_pct,ema21_dist_pct,entry_delay_1h,size_multiplier,risk_usd,position_size,outcome,exit_price,exit_reason,candles_held,pnl
BNB/USDT,S5,2021-04-12 20:00,LONG,range,n/a,TRENDING,588.6408,521.733409,722.455582,856.270364,2.0,-1.0,78.4,,34.1,4.85,,,,0,1.5,45.0,0.6726,sl,521.733409,stop_loss,42,-45.0
UNI/USDT,S5,2021-04-12 20:00,LONG,range,n/a,TRANSITIONAL,36.8135,30.75928,48.92194,61.03038,2.0,-1.0,83.6,,5.78,3.38,,,,0,1.5,45.0,7.4328,sl,30.75928,stop_loss,127,-45.0
AAVE/USDT,S5,2021-04-13 20:00,LONG,range,n/a,RANGING,398.238,377.333128,440.047744,481.857488,2.0,2.7,58.9,,10.15,3.54,,,,0,1.5,45.0,2.1526,tp1+trail,454.780256,trail_stop,40,105.86
MATIC/USDT,S5,2021-04-14 00:00,LONG,range,n/a,TRANSITIONAL,0.42281,0.374572,0.519286,0.615762,2.0,-1.0,71.2,,12.62,4.15,,,,0,1.5,45.0,932.8745,sl,0.374572,stop_loss,14,-45.0
ETH/USDT,S5,2021-04-14 04:00,LONG,range,n/a,TRENDING,2346.97,2225.872263,2589.165474,2831.360948,2.0,-1.0,78.7,,6.49,2.06,,,,0,0.5,15.0,0.1239,sl,2225.872263,stop_loss,95,-15.0
LINK/USDT,S5,2021-04-14 04:00,LONG,range,n/a,TRANSITIONAL,37.2949,34.165123,43.554454,49.814008,2.0,1.7,76.2,,10.98,3.07,,,,0,1.5,45.0,14.378,tp1+trail,42.614669,trail_stop,36,83.24
ATOM/USDT,S5,2021-04-14 04:00,LONG,range,n/a,TRANSITIONAL,25.16,23.093194,29.293612,33.427224,2.0,-1.0,66.9,,16.34,4.49,,,,0,1.5,45.0,21.7727,sl,23.093194,stop_loss,10,-45.0
BCH/USDT,S5,2021-04-14 04:00,LONG,range,n/a,TRENDING,812.31,705.24804,1026.43392,1240.55784,2.0,2.39,81.2,,10.63,3.55,,,,0,1.5,45.0,0.4203,tp1+trail,1068.37412,trail_stop,60,98.81
TRX/USDT,S3,2021-04-15 03:00,LONG,bull,bull,TRENDING,0.14099,0.13261,0.16915,0.1979,2.0,2.83,55.7,-5.5,8.64,6.29,1.0,63.0,0.653,6,0.75,37.5,4474.9403,tp1+trail,0.1647,trail_stop,38,116.06
ZEC/USDT,S5,2021-04-17 00:00,LONG,range,n/a,TRENDING,270.03,228.870825,352.34835,434.6667,2.0,-1.0,69.0,,21.7,4.48,,,,0,1.5,75.0,1.8222,sl,228.870825,stop_loss,27,-75.0
FIL/USDT,S5,2021-04-17 04:00,LONG,range,n/a,TRENDING,188.1333,169.677074,225.045752,261.958204,2.0,-1.0,64.3,,14.03,4.6,,,,0,1.5,75.0,4.0637,sl,169.677074,stop_loss,21,-75.0
BTC/USDT,S5,2021-04-22 20:00,SHORT,range,n/a,TRANSITIONAL,52923.54,56407.896728,45954.826544,38986.113088,2.0,-1.0,38.2,,6.77,3.35,,,,0,1.5,45.0,0.0129,sl,56407.896728,stop_loss,141,-45.0
DOT/USDT,S5,2021-05-01 00:00,LONG,range,n/a,TRANSITIONAL,36.522,34.457391,40.651218,44.780436,2.0,-1.0,64.0,,7.69,3.45,,,,0,1.5,45.0,21.7959,sl,34.457391,stop_loss,88,-45.0
FIL/USDT,S5,2021-05-01 00:00,LONG,range,n/a,TRANSITIONAL,163.92,156.926337,177.907326,191.894652,2.0,-1.0,71.0,,7.88,2.85,,,,0,1.5,45.0,6.4344,sl,156.926337,stop_loss,28,-45.0
ETH/USDT,S5,2021-05-01 20:00,LONG,range,n/a,TRENDING,2925.49,2769.445624,3237.578752,3549.667504,2.0,2.93,72.2,,7.82,2.45,,,,0,0.5,15.0,0.0961,tp1+trail,3382.411248,trail_stop,51,36.95
UNI/USDT,S5,2021-05-03 04:00,LONG,range,n/a,TRANSITIONAL,44.491,41.00022,51.47256,58.45412,2.0,-1.0,69.9,,8.56,3.55,,,,0,1.5,45.0,12.8911,sl,41.00022,stop_loss,20,-45.0
LTC/USDT,S5,2021-05-03 20:00,LONG,range,n/a,TRANSITIONAL,294.08,268.764711,344.710578,395.341156,2.0,1.64,72.3,,6.71,2.93,,,,0,1.5,45.0,1.7776,tp1+trail,335.554134,trail_stop,40,81.86
ETH/USDT,S5,2021-05-04 00:00,LONG,range,n/a,TRENDING,3431.04,3039.071423,4214.977154,4998.914308,2.0,2.04,87.3,,14.56,2.68,,,,0,0.5,15.0,0.0383,tp1+trail,4232.034271,trail_stop,200,30.35
BTC/USDT,S5,2021-05-04 16:00,SHORT,range,n/a,TRANSITIONAL,53799.33,57312.530483,46772.929034,39746.528068,2.0,-1.0,36.3,,5.44,2.51,,,,0,0.5,15.0,0.0043,sl,57312.530483,stop_loss,23,-15.0
NEAR/USDT,S5,2021-05-04 16:00,SHORT,range,n/a,TRANSITIONAL,4.8592,5.392098,3.793404,2.727608,2.0,-1.0,35.3,,9.29,4.42,,,,0,1.5,45.0,84.4439,sl,5.392098,stop_loss,46,-45.0
ADA/USDT,S5,2021-05-05 00:00,SHORT,range,n/a,TRANSITIONAL,1.2698,1.338301,1.132798,0.995796,2.0,-1.0,42.2,,7.23,3.7,,,,0,1.5,45.0,656.9247,sl,1.338301,stop_loss,8,-45.0
ALGO/USDT,S5,2021-05-07 12:00,LONG,range,n/a,TRANSITIONAL,1.6461,1.407376,2.123548,2.600996,2.0,-1.0,70.1,,17.31,4.88,,,,0,1.5,45.0,188.5022,sl,1.407376,stop_loss,79,-45.0
LTC/USDT,S3,2021-05-08 18:00,LONG,bull,bull,TRENDING,349.37,335.802775,420.4545,490.519,2.0,-1.0,56.9,0.8,8.26,5.32,1.0,68.2,1.277,1,0.75,22.5,1.6584,sl,335.802775,stop_loss,10,-22.5
LINK/USDT,S5,2021-05-10 00:00,LONG,range,n/a,TRENDING,52.269,48.684616,59.437768,66.606536,2.0,-1.0,64.6,,10.16,4.51,,,,0,1.5,45.0,12.5545,sl,48.684616,stop_loss,18,-45.0
BTC/USDT,S5,2021-05-28 20:00,SHORT,range,n/a,TRENDING,35789.3,38146.933245,31074.03351,26358.76702,2.0,-1.0,41.6,,12.48,4.84,,,,0,1.5,45.0,0.0191,sl,38146.933245,stop_loss,115,-45.0
BTC/USDT,S5,2021-06-05 20:00,SHORT,range,n/a,TRENDING,35778.94,36993.18001,33350.45998,30921.97996,2.0,2.09,41.0,,9.04,3.12,,,,0,1.5,26.25,0.0216,tp1+trail,33239.36002,trail_stop,59,53.66
BTC/USDT,S5,2021-06-08 16:00,SHORT,range,n/a,TRENDING,31705.24,34649.04704,25817.62592,19930.01184,2.0,-1.0,24.9,,8.81,3.67,,,,0,1.5,45.0,0.0153,sl,34649.04704,stop_loss,18,-45.0
BTC/USDT,S5,2021-06-14 08:00,LONG,range,n/a,TRENDING,39555.24,38168.689143,42328.341714,45101.443428,2.0,-1.0,69.5,,11.19,2.84,,,,0,1.5,45.0,0.0325,sl,38168.689143,stop_loss,63,-45.0
BNB/USDT,S5,2021-06-14 16:00,LONG,range,n/a,TRENDING,375.21,349.738779,426.152442,477.094884,2.0,-1.0,62.1,,10.98,3.39,,,,0,1.5,26.25,1.0306,sl,349.738779,stop_loss,46,-26.25
ADA/USDT,S5,2021-06-18 16:00,SHORT,range,n/a,TRANSITIONAL,1.4025,1.513454,1.180592,0.958684,2.0,1.9,32.6,,8.7,2.96,,,,0,1.5,26.25,236.5845,tp1+trail,1.19216,trail_stop,81,51.13
BCH/USDT,S5,2021-06-18 16:00,SHORT,range,n/a,TRENDING,562.96,608.352221,472.175558,381.391116,2.0,1.44,34.5,,9.79,3.06,,,,0,1.5,26.25,0.5783,tp1+trail,497.796663,trail_stop,69,45.09
DASH/USDT,S5,2021-06-18 16:00,SHORT,range,n/a,TRENDING,155.18,167.596144,130.347712,105.515424,2.0,2.22,33.8,,8.74,3.41,,,,0,1.5,45.0,3.6243,tp1+trail,127.608432,trail_stop,81,94.96
LTC/USDT,S5,2021-06-18 16:00,SHORT,range,n/a,TRENDING,156.46,170.120988,129.138024,101.816048,2.0,1.43,34.1,,9.76,3.31,,,,0,1.5,45.0,3.2941,tp1+trail,136.91099,trail_stop,69,77.2
XRP/USDT,S5,2021-06-19 04:00,SHORT,range,n/a,TRENDING,0.7859,0.813579,0.730542,0.675184,2.0,0.79,34.4,,8.89,2.84,,,,0,1.5,45.0,1625.7813,tp1+trail,0.764079,trail_stop,25,62.74
AVAX/USDT,S5,2021-06-19 04:00,SHORT,range,n/a,TRENDING,13.265,14.278263,11.238474,9.211948,2.0,1.5,37.7,,10.77,4.69,,,,0,1.5,45.0,44.411,tp1+trail,11.742789,trail_stop,71,78.8
DOT/USDT,S5,2021-06-19 04:00,SHORT,range,n/a,TRANSITIONAL,20.84,22.038216,18.443568,16.047136,2.0,2.51,38.6,,15.45,4.49,,,,0,1.5,75.0,62.5931,tp1+trail,17.828433,trail_stop,54,169.25
ALGO/USDT,S5,2021-06-19 04:00,SHORT,range,n/a,TRANSITIONAL,0.9605,1.01873,0.84404,0.72758,2.0,1.68,36.7,,9.22,3.8,,,,0,1.5,75.0,1287.9959,tp1+trail,0.86239,trail_stop,57,138.18
ZEC/USDT,S5,2021-06-19 04:00,SHORT,range,n/a,TRENDING,129.53,136.877257,114.835486,100.140972,2.0,2.52,41.0,,10.42,3.99,,,,0,1.5,75.0,10.2079,tp1+trail,111.014513,trail_stop,55,169.5
FIL/USDT,S5,2021-06-21 04:00,SHORT,range,n/a,TRENDING,60.33,64.996489,50.997022,41.664044,2.0,1.3,32.2,,14.93,3.6,,,,0,1.5,75.0,16.072,tp1+trail,54.256489,trail_stop,9,123.81
DOGE/USDT,S5,2021-06-21 04:00,SHORT,range,n/a,TRENDING,0.26504,0.295253,0.204614,0.144188,2.0,1.99,33.1,,16.13,4.05,,,,0,1.5,75.0,2482.3751,tp1+trail,0.204997,trail_stop,17,149.52
XRP/USDT,S5,2021-06-21 08:00,SHORT,range,n/a,TRENDING,0.6968,0.800213,0.489974,0.283148,2.0,0.35,32.6,,19.98,4.37,,,,0,1.5,75.0,725.2473,timeout,0.6604,timeout,240,26.4
BNB/USDT,S5,2021-06-21 08:00,SHORT,range,n/a,TRENDING,317.55,347.467164,257.715672,197.881344,2.0,2.31,37.0,,12.96,3.44,,,,0,1.5,75.0,2.5069,tp1+trail,248.421492,trail_stop,28,161.65
NEAR/USDT,S5,2021-06-21 08:00,SHORT,range,n/a,TRANSITIONAL,2.6246,2.997398,1.879004,1.133408,2.0,1.85,33.6,,18.03,4.79,,,,0,1.5,75.0,201.1813,tp1+trail,1.935694,trail_stop,158,144.3
TRX/USDT,S5,2021-06-21 08:00,SHORT,range,n/a,TRENDING,0.06219,0.069099,0.048372,0.034554,2.0,1.82,32.7,,13.62,3.47,,,,0,1.5,75.0,10855.406,tp1+trail,0.049608,trail_stop,31,143.29
BTC/USDT,S5,2021-06-22 00:00,SHORT,range,n/a,TRENDING,31608.93,34185.586587,26455.616826,21302.303652,2.0,-1.0,26.8,,13.29,3.85,,,,0,1.5,75.0,0.0291,sl,34185.586587,stop_loss,25,-75.0
ETH/USDT,S5,2021-06-22 00:00,SHORT,range,n/a,TRENDING,1885.49,2101.959708,1452.550584,1019.611168,2.0,-1.0,28.7,,14.53,4.98,,,,0,1.5,75.0,0.3465,sl,2101.959708,stop_loss,159,-75.0
TRX/USDT,S5,2021-06-29 04:00,LONG,range,n/a,TRENDING,0.06734,0.063461,0.075098,0.082856,2.0,-1.0,61.5,,10.85,3.44,,,,0,1.5,75.0,19334.8801,sl,0.063461,stop_loss,71,-75.0
